Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6110 Le Cannet,1.987,,,,1.999,2.079,"43.571742369999996, 7.016243639999999"
Centre-Val de Loire,Indre,36100 Saint-Aoustrille,1.99,1.99,1.17,,,,"46.938, 1.947"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63120 Courpière,1.893,,0.998,,1.817,1.904,"45.762, 3.54"
Occitanie,Hautes-Pyrénées,65310 Laloubère,1.925,,,1.099,1.919,1.982,"43.206, 0.072"
Grand Est,Bas-Rhin,67260 Herbitzheim,1.979,1.899,,,,1.979,"49.009, 7.077"
Occitanie,Lot,46300 Gourdon,1.99,,,,1.99,1.99,"44.74, 1.391"
Grand Est,Aube,10800 Saint-Julien-les-Villas,1.949,1.959,,,1.929,1.989,"48.26766, 4.08884"
Centre-Val de Loire,Eure-et-Loir,28500 Vernouillet,,,,,,,"48.732, 1.341"
Grand Est,Marne,51000 Châlons-en-Champagne,1.934,,,,1.886,1.966,"48.955, 4.332"
Nouvelle-Aquitaine,Charente-Maritime,17220 Salles-sur-Mer,1.915,,,,1.879,1.923,"46.084, -1.074"
Auvergne-Rhône-Alpes,Rhône,69210 L'Arbresle,1.99,,1.119,,1.977,,"45.838, 4.611"
Île-de-France,Yvelines,78120 Rambouillet,1.923,1.872,,,1.83,1.906,"48.647, 1.856"
Hauts-de-France,Somme,80000 Amiens,1.899,,,,1.889,1.969,"49.894, 2.285"
Centre-Val de Loire,Loir-et-Cher,41350 Vineuil,1.959,1.979,,,1.917,1.992,"47.584, 1.375"
Nouvelle-Aquitaine,Haute-Vienne,87600 Rochechouart,2.06,2.1,,,,2.12,"45.835, 0.837"
Île-de-France,Essonne,91210 Draveil,,,,,,,"48.68361867030001, 2.43262571173"
Île-de-France,Essonne,91370 Verrières-le-Buisson,1.964,,0.994,,1.939,2.019,"48.753, 2.273"
Île-de-France,Seine-et-Marne,77190 Dammarie-les-Lys,1.945,,,,1.888,1.965,"48.518, 2.628"
Centre-Val de Loire,Loiret,45720 Coullons,1.949,,,,1.929,1.999,"47.615, 2.5"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5260 Chabottes,1.979,,,,1.979,1.99,"44.64668, 6.18157"
Grand Est,Bas-Rhin,67460 Souffelweyersheim,1.943,,,,1.896,,"48.629, 7.729"
Occitanie,Tarn-et-Garonne,82200 Moissac,1.909,1.939,0.998,,1.899,,"44.114084407834994, 1.1124635755837"
Normandie,Manche,50200 Coutances,1.939,,1.009,,1.889,1.985,"49.038, -1.446"
Île-de-France,Hauts-de-Seine,92400 Courbevoie,,,,,,,"48.896, 2.252"
Hauts-de-France,Nord,59215 Abscon,1.959,,,,1.919,1.985,"50.336, 3.303"
Hauts-de-France,Pas-de-Calais,62147 Hermies,1.933,,1.064,,1.923,1.98,"50.111, 3.038"
Occitanie,Aveyron,12330 Saint-Christophe-Vallon,1.931,,,,1.927,2.028,"44.469, 2.414"
Occitanie,Haute-Garonne,31370 Rieumes,1.899,1.969,,1.099,1.924,1.994,"43.414, 1.117"
Nouvelle-Aquitaine,Haute-Vienne,87700 Aixe-sur-Vienne,1.899,,1.029,,1.889,1.989,"45.798, 1.124"
Grand Est,Bas-Rhin,67260 Sarre-Union,1.905,1.94,,,,1.98,"48.94, 7.085"
Île-de-France,Paris,75016 Paris,1.973,,,,1.897,1.924,"48.847, 2.256"
Nouvelle-Aquitaine,Gironde,33320 Eysines,1.937,1.876,,,,1.899,"44.881, -0.651"
Normandie,Seine-Maritime,76150 Maromme,1.919,,1.049,,1.899,1.989,"49.482, 1.04"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63650 La Monnerie-le-Montel,1.949,,1.085,,1.899,1.949,"45.87, 3.63"
Bretagne,Ille-et-Vilaine,35230 Bourgbarré,1.965,,,,1.952,2.014,"47.995, -1.621"
Nouvelle-Aquitaine,Haute-Vienne,87600 Rochechouart,1.929,,0.998,,1.889,1.959,"45.83272874658601, 0.83143151685127"
Nouvelle-Aquitaine,Landes,40400 Bégaar,1.939,1.959,,,1.899,1.909,"43.8229686, -0.84894289"
Occitanie,Hérault,34690 Fabrègues,1.95,,0.998,0.998,1.869,1.96,"43.549, 3.782"
Pays de la Loire,Vendée,85230 Beauvoir-sur-Mer,1.898,,0.998,,1.849,1.919,"46.91, -2.03"
Grand Est,Moselle,57220 Boulay-Moselle,,,,,,,"49.18457727, 6.49268875"
Île-de-France,Yvelines,78350 Jouy-en-Josas,1.964,,1.039,0.959,1.901,1.978,"48.780582855606006, 2.1731592564109"
Nouvelle-Aquitaine,Dordogne,24310 Brantôme en Périgord,1.925,1.99,,,,,"45.364, 0.653"
Bourgogne-Franche-Comté,Côte-d'Or,21120 Til-Châtel,1.979,2.039,,,,2.089,"47.52, 5.179"
Hauts-de-France,Aisne,2100 Fayet,1.926,,0.948,0.956,1.876,1.955,"49.858, 3.253"
Auvergne-Rhône-Alpes,Rhône,69430 Beaujeu,1.97,,,,1.99,1.99,"46.146, 4.599"
Hauts-de-France,Somme,80860 Nouvion,1.929,1.959,,,,1.989,"50.2117728505, 1.77888380782"
Occitanie,Gard,30100 Alès,1.896,,0.994,,1.855,1.947,"44.138, 4.104"
Auvergne-Rhône-Alpes,Savoie,73370 Bourdeau,1.944,1.995,,,,2.013,"45.676, 5.852"
Occitanie,Aude,11590 Sallèles-d'Aude,1.999,,,,1.999,2.049,"43.264, 2.948"
Auvergne-Rhône-Alpes,Isère,38620 Saint-Geoire-en-Valdaine,1.996,2.058,,,,,"45.459, 5.641"
Grand Est,Bas-Rhin,67600 Sélestat,1.902,1.826,,,,1.87,"48.264, 7.441"
Auvergne-Rhône-Alpes,Isère,38120 Saint-Égrève,1.929,,1.089,,1.887,1.957,"45.241, 5.672"
Grand Est,Aube,10700 Arcis-sur-Aube,1.959,,,,1.879,1.985,"48.535, 4.13"
Île-de-France,Hauts-de-Seine,92000 Nanterre,2.179,,,,2.099,2.219,"48.88241, 2.2229200000001"
Normandie,Manche,50190 Périers,1.99,,,,1.979,1.99,"49.188, -1.416"
Nouvelle-Aquitaine,Charente,16430 Champniers,1.925,,0.994,,1.875,1.976,"45.701, 0.182"
Occitanie,Haute-Garonne,31310 Rieux-Volvestre,2.01,,,,2.07,,"43.262, 1.201"
Occitanie,Hautes-Pyrénées,65500 Vic-en-Bigorre,1.949,,,,1.92,1.999,"43.384, 0.051"
Pays de la Loire,Mayenne,53140 Pré-en-Pail-Saint-Samson,1.889,1.959,,,,1.999,"48.4592772097, -0.201907855867"
Corse,Corse-du-Sud,20129 Bastelicaccia,1.988,1.998,,,,,"41.924, 8.825"
Centre-Val de Loire,Indre-et-Loire,37100 Tours,1.888,,0.924,0.959,1.83,1.92,"47.426, 0.7"
Bourgogne-Franche-Comté,Doubs,25640 Marchaux-Chaudefontaine,1.99,,1.259,1.054,1.99,1.99,"47.32512, 6.11672"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5000 Gap,1.898,,,,1.868,1.948,"44.564, 6.084"
Auvergne-Rhône-Alpes,Isère,38270 Revel-Tourdan,1.95,,1.1,,1.952,2.049,"45.373, 5.027"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6600 Antibes,1.99,1.99,,,,,"43.607, 7.124"
Bourgogne-Franche-Comté,Doubs,25660 Saône,1.929,1.979,,,1.899,1.999,"47.209, 6.103"
Normandie,Eure,27120 Pacy-sur-Eure,1.959,,1.019,,1.879,1.969,"49.013, 1.378"
Occitanie,Hérault,34420 Villeneuve-lès-Béziers,1.889,1.904,,,,1.964,"43.322, 3.291"
Hauts-de-France,Somme,80120 Rue,1.933,,,,1.906,1.983,"50.271, 1.669"
Pays de la Loire,Mayenne,53500 Ernée,1.99,,,,1.99,1.99,"48.297, -0.913"
Occitanie,Aveyron,12560 Saint-Laurent-d'Olt,1.885,1.952,,,,,"44.445, 3.109"
Nouvelle-Aquitaine,Lot-et-Garonne,47310 Brax,1.944,1.965,,,1.915,1.985,"44.2, 0.554"
Occitanie,Aveyron,12000 Rodez,1.999,1.999,,,,,"44.34513578907, 2.5676957284615"
Pays de la Loire,Loire-Atlantique,44350 Saint-Molf,1.889,,,,1.859,,"47.39, -2.432"
Île-de-France,Seine-Saint-Denis,93400 Saint-Ouen-sur-Seine,1.99,,,,1.984,,"48.908, 2.344"
Pays de la Loire,Mayenne,53100 Mayenne,1.95,1.929,,,,1.949,"48.30817, -0.62956"
Île-de-France,Essonne,91170 Juvisy-sur-Orge,2.089,,,1.089,2.049,2.169,"48.684, 2.376"
Nouvelle-Aquitaine,Dordogne,24250 La Roque-Gageac,1.99,1.99,,,1.99,,"44.814, 1.212"
Île-de-France,Yvelines,78550 Maulette,2.194,,1.185,,2.105,2.172,"48.792, 1.633"
Nouvelle-Aquitaine,Dordogne,24750 Boulazac Isle Manoire,1.929,,,,1.87,1.98,"45.18, 0.746"
Auvergne-Rhône-Alpes,Rhône,69002 Lyon,2.019,,,,2.009,2.129,"45.7346033, 4.8182502000000005"
Hauts-de-France,Oise,60700 Pont-Sainte-Maxence,1.923,,0.994,,1.879,,"49.306, 2.604"
Nouvelle-Aquitaine,Haute-Vienne,87570 Rilhac-Rancon,1.969,1.979,,,,1.999,"45.89885, 1.31178"
Nouvelle-Aquitaine,Charente-Maritime,17300 Rochefort,1.867,,0.999,1.05,1.874,1.955,"45.9567589967, -0.977776716334"
Auvergne-Rhône-Alpes,Isère,38400 Saint-Martin-d'Hères,1.872,,,,1.871,1.965,"45.186, 5.76"
Nouvelle-Aquitaine,Landes,40110 Morcenx-la-Nouvelle,1.949,,,,1.949,1.969,"44.031, -0.911"
Occitanie,Tarn-et-Garonne,82270 Montalzat,1.99,,1.259,1.054,1.99,1.99,"44.23161, 1.52955"
Bourgogne-Franche-Comté,Saône-et-Loire,71370 Ouroux-sur-Saône,1.905,1.875,,,,1.915,"46.70461, 4.96891"
Auvergne-Rhône-Alpes,Haute-Savoie,74140 Sciez,1.894,1.939,,,,1.982,"46.331158208299996, 6.37275576533"
Hauts-de-France,Pas-de-Calais,62231 Coquelles,2.186,,,,,,"50.925303, 1.8502560000000001"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13160 Châteaurenard,1.969,,,,1.944,2.044,"43.886791799165, 4.8538292267059"
Auvergne-Rhône-Alpes,Haute-Savoie,74210 Faverges-Seythenex,1.919,1.979,,,1.949,,"45.75333, 6.27791"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13122 Ventabren,1.99,,,,1.99,1.99,"43.54117, 5.27115"
Nouvelle-Aquitaine,Gironde,33210 Langon,1.872,1.872,0.977,0.922,1.81,1.93,"44.542, -0.254"
Nouvelle-Aquitaine,Dordogne,24800 Thiviers,1.934,1.938,,,,1.975,"45.424561452651, 0.92805331392518"
Occitanie,Hérault,34725 Saint-André-de-Sangonis,1.949,,,,1.969,2.059,"43.65075, 3.50952"
Île-de-France,Hauts-de-Seine,92330 Châtenay-Malabry,2.149,,,,2.079,2.229,"48.774, 2.28"
Auvergne-Rhône-Alpes,Allier,3800 Gannat,1.97,1.979,,,,2.059,"46.084179728058, 3.2007152920654"
Bretagne,Ille-et-Vilaine,35136 Saint-Jacques-de-la-Lande,1.942,,1.089,,1.931,1.992,"48.082, -1.712"
Bourgogne-Franche-Comté,Côte-d'Or,21600 Longvic,1.999,,1.049,,2.049,2.089,"47.291, 5.057"
Hauts-de-France,Oise,60390 Auneuil,1.99,,,,1.99,1.99,"49.37, 1.987"
Île-de-France,Hauts-de-Seine,92400 Courbevoie,2.079,,,,2.019,2.139,"48.902, 2.278"
Centre-Val de Loire,Indre-et-Loire,37220 L'Île-Bouchard,1.919,,1.009,,1.879,1.969,"47.122, 0.431"
Centre-Val de Loire,Indre-et-Loire,37800 Saint-Épain,2.369,,,1.149,2.329,2.459,"47.166, 0.632"
Corse,Corse-du-Sud,20167 Ajaccio,1.889,1.994,,,,,"41.948054299999995, 8.7649984"
Centre-Val de Loire,Indre,36300 Le Blanc,1.939,,,,1.889,1.993,"46.631245939389004, 1.0788597263613"
Île-de-France,Seine-et-Marne,77120 Mouroux,1.959,1.99,,,,2.02,"48.81675, 3.05222"
Auvergne-Rhône-Alpes,Isère,38300 Bourgoin-Jallieu,1.969,,0.999,,1.949,2.049,"45.586, 5.263"
Centre-Val de Loire,Indre-et-Loire,37320 Esvres,1.929,,,,1.871,1.959,"47.291, 0.79"
Grand Est,Haut-Rhin,68330 Huningue,1.9,,,,1.89,1.99,"47.59236, 7.57662"
Occitanie,Hérault,34500 Béziers,1.969,,,,1.959,2.049,"43.355531133559005, 3.2394799140262998"
Île-de-France,Yvelines,78955 Carrières-sous-Poissy,1.915,1.892,,,1.851,1.927,"48.956, 2.042"
Normandie,Seine-Maritime,76220 Gournay-en-Bray,1.919,,,,1.909,1.989,"49.481, 1.733"
Grand Est,Bas-Rhin,67560 Rosheim,1.895,,,,1.885,1.985,"48.503, 7.487"
Provence-Alpes-Côte d'Azur,Var,83190 Ollioules,1.929,1.949,,,,2.049,"43.133, 5.846"
Île-de-France,Essonne,91190 Gif-sur-Yvette,1.93,,,,1.893,1.955,"48.694, 2.121"
Île-de-France,Seine-Saint-Denis,93160 Noisy-le-Grand,1.987,1.974,,,1.934,2.01,"48.845, 2.528"
Auvergne-Rhône-Alpes,Isère,38540 Saint-Just-Chaleyssin,1.933,1.943,,,,1.983,"45.585, 5.004"
Bretagne,Morbihan,56600 Lanester,2.148,2.067,1.266,0.995,,2.145,"47.766, -3.332"
Occitanie,Hautes-Pyrénées,65300 Lannemezan,1.969,,,,1.967,2.025,"43.098, 0.399"
Auvergne-Rhône-Alpes,Rhône,69430 Quincié-en-Beaujolais,1.95,1.97,1.4,,,1.99,"46.13965793122, 4.60822098476"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64400 Oloron-Sainte-Marie,1.866,1.874,0.985,,1.826,,"43.1973594487, -0.617139056977"
Île-de-France,Seine-Saint-Denis,93170 Bagnolet,1.99,,,,1.99,1.99,"48.86205, 2.4165"
Bourgogne-Franche-Comté,Doubs,25620 Mamirolle,1.935,,1.099,,1.879,1.972,"47.201, 6.14"
Hauts-de-France,Somme,80300 Albert,1.899,,1.0,,1.859,1.975,"50.011, 2.673"
Occitanie,Lot,46110 Vayrac,1.756,,,,1.895,1.945,"44.953, 1.703"
Nouvelle-Aquitaine,Gironde,33510 Andernos-les-Bains,1.959,,,,1.939,2.009,"44.746, -1.103"
Pays de la Loire,Loire-Atlantique,44390 Nort-sur-Erdre,1.939,,0.998,,1.899,1.959,"47.439, -1.48"
Île-de-France,Hauts-de-Seine,92230 Gennevilliers,1.952,,,,1.863,1.934,"48.926, 2.292"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64230 Poey-de-Lescar,1.995,1.949,,,,1.979,"43.346495316027, -0.47879722090508003"
Centre-Val de Loire,Indre-et-Loire,37600 Perrusson,1.898,1.891,,,1.845,1.915,"47.111, 1.005"
Corse,Corse-du-Sud,20137 Porto-Vecchio,1.98,1.99,,1.25,,,"41.598, 9.276"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63240 Mont-Dore,1.99,,,,1.99,1.99,"45.576, 2.804"
Hauts-de-France,Nord,59380 Socx,1.932,,0.994,,1.899,1.988,"50.96273, 2.4329"
Nouvelle-Aquitaine,Charente-Maritime,17160 Matha,1.934,,,,1.868,1.943,"45.87435, -0.31139"
Bourgogne-Franche-Comté,Nièvre,58130 Guérigny,1.949,,0.999,,1.899,1.979,"47.089, 3.195"
Grand Est,Bas-Rhin,67700 Saverne,1.895,,,,1.879,1.946,"48.736, 7.364"
Occitanie,Aude,11220 Saint-Laurent-de-la-Cabrerisse,2.022,2.094,,,,2.068,"43.087, 2.703"
Bourgogne-Franche-Comté,Haute-Saône,70004 Vesoul,1.99,,0.999,,1.99,1.99,"47.635, 6.157"
Auvergne-Rhône-Alpes,Isère,38300 Bourgoin-Jallieu,1.969,,1.114,,1.976,2.026,"45.585, 5.285"
Occitanie,Haute-Garonne,31130 Balma,1.916,,0.994,0.904,1.862,1.952,"43.60917, 1.49007"
Normandie,Seine-Maritime,76250 Déville-lès-Rouen,1.939,1.98,,,,1.99,"49.471, 1.043"
Pays de la Loire,Maine-et-Loire,49240 Avrillé,1.899,,0.985,0.985,1.869,1.949,"47.5173224504, -0.608072819189"
Hauts-de-France,Nord,59760 Grande-Synthe,1.99,,,,1.969,1.99,"51.01420842, 2.30670989"
Île-de-France,Essonne,91300 Massy,1.964,,,0.974,,,"48.739, 2.302"
Pays de la Loire,Maine-et-Loire,49400 Distré,1.899,1.899,0.999,,1.899,1.989,"47.231, -0.117"
Île-de-France,Val-d'Oise,95260 Beaumont-sur-Oise,1.941,,1.025,,1.88,1.981,"49.138, 2.275"
Auvergne-Rhône-Alpes,Isère,38530 Pontcharra,1.942,,,1.108,1.919,2.032,"45.435356491454, 6.0059225038886"
Pays de la Loire,Sarthe,72260 Marolles-les-Braults,1.939,,,,1.929,2.029,"48.254, 0.314"
Bourgogne-Franche-Comté,Saône-et-Loire,71100 Chalon-sur-Saône,1.879,1.879,,,,1.929,"46.79804, 4.84741"
Centre-Val de Loire,Loiret,45110 Châteauneuf-sur-Loire,1.919,,0.993,,1.851,1.949,"47.876, 2.23"
Île-de-France,Essonne,91390 Morsang-sur-Orge,1.979,,,,1.959,1.999,"48.662381537766, 2.3592727991082003"
Auvergne-Rhône-Alpes,Loire,42130 Boën-sur-Lignon,1.929,1.929,0.999,,1.889,,"45.736, 4.009"
Nouvelle-Aquitaine,Vienne,86180 Buxerolles,1.888,1.849,,,1.805,,"46.597390880917004, 0.35110607183029"
Normandie,Calvados,14290 Orbec,1.939,,1.049,,1.939,1.999,"49.024, 0.413"
Île-de-France,Val-d'Oise,95310 Saint-Ouen-l'Aumône,1.926,,0.974,,1.835,1.91,"49.057, 2.124"
Occitanie,Tarn,81600 Montans,1.905,,,,1.949,2.006,"43.84234, 1.84632"
Bourgogne-Franche-Comté,Saône-et-Loire,71250 Cluny,1.949,2.029,,,1.999,,"46.437, 4.65"
Nouvelle-Aquitaine,Creuse,23000 Guéret,1.894,1.917,,,1.869,1.961,"46.177, 1.877"
Grand Est,Moselle,57070 Saint-Julien-lès-Metz,1.939,,1.039,,1.89,1.99,"49.127, 6.189"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64210 Bidart,1.91,1.918,0.999,,1.87,1.967,"43.44745, -1.57436"
Bourgogne-Franche-Comté,Saône-et-Loire,71400 Autun,1.9,,0.991,,1.835,1.969,"46.968, 4.304"
Pays de la Loire,Vendée,85500 Les Herbiers,1.908,,0.988,0.959,1.851,1.942,"46.875, -1.025"
Bretagne,Finistère,29120 Plomeur,1.899,1.919,,,,1.939,"47.842, -4.283"
Bretagne,Finistère,29140 Rosporden,1.99,,,,1.965,1.99,"47.958, -3.823"
Hauts-de-France,Nord,59600 Maubeuge,1.99,,1.049,,1.99,1.99,"50.282, 3.97"
Grand Est,Vosges,88160 Le Thillot,1.937,,,,1.879,1.97,"47.883, 6.758"
Bretagne,Ille-et-Vilaine,35400 Saint-Jouan-des-Guérets,1.939,,0.994,0.969,1.877,1.968,"48.612914428869004, -1.9818514218928"
Hauts-de-France,Nord,59400 Cambrai,1.99,,,,1.98,1.99,"50.167, 3.238"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13140 Miramas,1.879,,1.049,,1.899,1.999,"43.57594, 4.99821"
Hauts-de-France,Nord,59750 Feignies,1.971,2.012,,,,2.047,"50.29762, 3.9173"
Nouvelle-Aquitaine,Gironde,33950 Lège-Cap-Ferret,1.888,,1.029,0.91,1.855,1.957,"44.750968603, -1.18038073853"
Auvergne-Rhône-Alpes,Isère,38180 Seyssins,1.909,1.81,0.998,,1.85,1.929,"45.16, 5.695"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13320 Bouc-Bel-Air,2.099,,1.099,,2.089,2.169,"43.441633614238, 5.395413490732"
Auvergne-Rhône-Alpes,Loire,42370 Renaison,1.949,,,,1.929,2.029,"46.057, 3.928"
Auvergne-Rhône-Alpes,Loire,42100 Saint-Étienne,1.99,,,1.966,1.99,1.99,"45.423860221887, 4.4102324108953"
Auvergne-Rhône-Alpes,Ain,1000 Bourg-en-Bresse,1.909,,,,1.862,1.947,"46.199, 5.244"
Île-de-France,Seine-et-Marne,77200 Torcy,1.99,,,,1.977,1.99,"48.851, 2.656"
Occitanie,Pyrénées-Orientales,66280 Saleilles,1.99,,,,1.99,1.99,"42.658, 2.952"
Occitanie,Gard,30190 Boucoiran-et-Nozières,2.151,2.228,,,2.207,,"43.976087047953, 4.2034940976462005"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13105 Mimet,1.995,1.975,,,1.936,2.009,"43.42967, 5.47296"
Normandie,Manche,50340 Pierreville,2.022,,,,2.03,2.08,"49.474, -1.787"
Île-de-France,Seine-et-Marne,77400 Lagny-sur-Marne,2.001,,,,1.939,2.019,"48.871, 2.683"
Nouvelle-Aquitaine,Landes,40700 Hagetmau,1.99,1.99,,,,,"43.6585388198, -0.59109674408"
Occitanie,Gard,30133 Les Angles,1.899,1.898,,,1.849,,"43.96, 4.75"
Nouvelle-Aquitaine,Charente,16360 Reignac,1.954,1.959,,,,,"45.425820487558006, -0.1727259261077"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13680 Lançon-Provence,1.99,,1.229,1.054,1.99,1.99,"43.585629439, 5.2019342191"
Normandie,Calvados,14150 Ouistreham,1.909,,,,1.909,1.989,"49.268884727564, -0.25802023527663"
Normandie,Calvados,14700 Falaise,,,,,,,"48.88474, -0.20334"
Normandie,Calvados,14800 Tourgéville,1.99,,1.079,,1.969,1.99,"49.35124, 0.0573"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13170 Les Pennes-Mirabeau,1.845,,1.079,0.929,1.839,1.911,"43.417, 5.356"
Occitanie,Gard,30126 Tavel,2.169,,,1.139,2.129,2.249,"43.99899198079999, 4.6990798723954"
Occitanie,Haute-Garonne,31120 Portet-sur-Garonne,1.999,,,,1.989,,"43.543140414373994, 1.4158769147098"
Occitanie,Gard,30900 Nîmes,1.99,,,,1.99,,"43.81305, 4.33267"
Centre-Val de Loire,Indre-et-Loire,37000 Tours,1.929,,,,1.879,1.979,"47.375, 0.709"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13300 Salon-de-Provence,1.867,1.856,0.966,,1.8,,"43.628, 5.116"
Grand Est,Moselle,57000 Metz,1.968,,,,1.957,2.037,"49.106, 6.179"
Grand Est,Moselle,57450 Farébersviller,1.999,,,,1.949,2.049,"49.118, 6.876"
Bourgogne-Franche-Comté,Nièvre,58390 Dornes,,,,,,,"46.71465, 3.35541"
Hauts-de-France,Nord,59210 Coudekerque-Branche,1.99,,,,1.955,1.99,"51.0317016964, 2.3937395017"
Occitanie,Pyrénées-Orientales,66200 Latour-Bas-Elne,1.949,1.959,,,,2.039,"42.611989137723, 3.0020149910677"
Hauts-de-France,Pas-de-Calais,62300 Lens,1.932,,,,1.884,1.964,"50.427, 2.819"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63200 Riom,1.899,,,,1.879,1.959,"45.9, 3.117"
Nouvelle-Aquitaine,Dordogne,24000 Périgueux,1.925,,0.994,0.975,1.87,1.971,"45.197, 0.701"
Grand Est,Haut-Rhin,68200 Mulhouse,,,,,,,"47.73658, 7.30197"
Auvergne-Rhône-Alpes,Rhône,69210 Sain-Bel,1.909,,1.099,,1.919,1.999,"45.812, 4.601"
Île-de-France,Essonne,91800 Brunoy,1.98,2.04,,,,2.06,"48.698, 2.507"
Normandie,Seine-Maritime,76190 Yvetot,1.899,1.989,,,,2.019,"49.62113, 0.76692"
Auvergne-Rhône-Alpes,Haute-Savoie,74100 Annemasse,1.99,,,,1.99,1.99,"46.186, 6.231"
Normandie,Seine-Maritime,76620 Le Havre,1.921,,,,1.938,2.018,"49.512, 0.127"
Auvergne-Rhône-Alpes,Loire,42600 Montbrison,1.929,,0.998,,1.899,,"45.596, 4.083"
Île-de-France,Val-d'Oise,95420 Magny-en-Vexin,1.903,,,,1.877,1.956,"49.147, 1.787"
Île-de-France,Essonne,91130 Ris-Orangis,1.975,,,,1.955,2.035,"48.648, 2.408"
Nouvelle-Aquitaine,Haute-Vienne,87200 Saint-Junien,1.896,1.907,0.965,,1.859,1.951,"45.896, 0.915"
Nouvelle-Aquitaine,Deux-Sèvres,79400 Azay-le-Brûlé,1.882,1.844,,0.998,1.846,1.939,"46.40727, -0.225"
Grand Est,Haut-Rhin,68130 Altkirch,1.884,,0.957,,1.78,1.847,"47.629, 7.26"
Nouvelle-Aquitaine,Vienne,86170 Neuville-de-Poitou,1.899,,,,1.849,1.959,"46.678634849341, 0.26579980945895"
Auvergne-Rhône-Alpes,Isère,38350 Susville,1.938,,0.998,,1.88,1.955,"44.931, 5.782"
Centre-Val de Loire,Loiret,45120 Châlette-sur-Loing,1.931,,1.105,,1.918,1.981,"48.008, 2.74"
Île-de-France,Val-d'Oise,95480 Pierrelaye,2.074,,,1.024,2.074,2.164,"49.01547848852, 2.1464288181662"
Occitanie,Hautes-Pyrénées,65500 Vic-en-Bigorre,1.859,,,,1.939,1.999,"43.392, 0.055"
Pays de la Loire,Loire-Atlantique,44220 Couëron,1.999,1.999,,,,,"47.21344, -1.719"
Bourgogne-Franche-Comté,Saône-et-Loire,71150 Chagny,1.969,1.609,,1.079,1.969,2.069,"46.921, 4.748"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6530 Peymeinade,1.99,,,,1.99,1.99,"43.644, 6.883"
Bretagne,Morbihan,56550 Locoal-Mendon,1.931,1.939,,,,1.969,"47.71, -3.106"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63380 Pontaumur,,,,,,,"45.87, 2.673"
Grand Est,Meurthe-et-Moselle,54121 Vandières,1.99,,0.994,,1.99,1.99,"48.951, 6.038"
Auvergne-Rhône-Alpes,Loire,42100 Saint-Étienne,1.922,,1.139,0.919,1.869,1.972,"45.44232, 4.40992"
Bourgogne-Franche-Comté,Nièvre,58410 Entrains-sur-Nohain,1.846,,,,1.958,,"47.463, 3.26"
Île-de-France,Paris,75019 Paris,1.99,,,,1.99,1.99,"48.88384, 2.38977"
Bretagne,Ille-et-Vilaine,35000 Rennes,1.925,,0.994,0.899,1.874,1.969,"48.127, -1.651"
Bretagne,Morbihan,56640 Arzon,1.919,,,,1.899,1.969,"47.54488, -2.89724"
Auvergne-Rhône-Alpes,Ardèche,7140 Les Vans,1.939,1.979,,,,1.999,"44.406, 4.137"
Auvergne-Rhône-Alpes,Drôme,26100 Romans-sur-Isère,1.889,1.939,,,1.889,,"45.046, 5.061"
Bretagne,Côtes-d'Armor,22480 Saint-Nicolas-du-Pélem,1.899,1.927,,,,1.959,"48.3066976252, -3.16397737542"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63300 Thiers,1.929,2.009,,0.989,,2.049,"45.842, 3.515"
Occitanie,Aude,11100 Narbonne,1.893,,0.994,1.014,1.878,1.957,"43.174, 2.992"
Bourgogne-Franche-Comté,Yonne,89110 Montholon,1.979,2.049,,,,2.089,"47.876, 3.353"
Occitanie,Gard,30021 Nîmes,1.839,1.858,,,1.826,1.882,"43.817, 4.392"
Île-de-France,Yvelines,78400 Le Vésinet,1.99,,1.149,,1.99,1.99,"48.8923050953, 2.14405585465"
Occitanie,Gard,30490 Montfrin,1.93,1.953,0.998,,,2.022,"43.873, 4.596"
Bourgogne-Franche-Comté,Côte-d'Or,21160 Marsannay-la-Côte,1.895,,,0.965,1.929,1.989,"47.267, 4.997"
