Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Occitanie,Hautes-Pyrénées,65500 Vic-en-Bigorre,1.99,,,,1.99,1.99,"43.373, 0.06"
Bourgogne-Franche-Comté,Nièvre,58000 Saint-Éloi,1.888,1.904,,,1.864,,"46.983907620000004, 3.2110530699999997"
Occitanie,Aveyron,12500 Espalion,1.929,,,,1.959,1.999,"44.524, 2.766"
Auvergne-Rhône-Alpes,Allier,3000 Avermes,1.899,1.919,0.989,1.049,,,"46.587, 3.315"
Occitanie,Gard,30300 Beaucaire,2.022,2.06,,,,,"43.812, 4.63"
Nouvelle-Aquitaine,Deux-Sèvres,79460 Magné,1.889,1.919,0.985,,1.869,1.959,"46.316, -0.557"
Occitanie,Lot,46100 Figeac,1.928,,,,1.949,1.999,"44.606, 2.013"
Bourgogne-Franche-Comté,Saône-et-Loire,71260 Saint-Albain,2.101,,,,2.084,2.204,"46.42, 4.863"
Centre-Val de Loire,Cher,18170 Le Châtelet,1.98,1.965,,,,1.999,"46.642, 2.284"
Pays de la Loire,Maine-et-Loire,49800 Trélazé,1.909,,,,1.899,1.989,"47.4521142, -0.4683908"
Hauts-de-France,Nord,59610 Wignehies,1.889,,,,1.859,1.93,"50.024, 4.028"
Bourgogne-Franche-Comté,Saône-et-Loire,71490 Couches,,,,,,,"46.866633465823995, 4.579992623925199"
Occitanie,Aude,11200 Lézignan-Corbières,1.889,1.949,,,1.909,1.969,"43.189, 2.753"
Occitanie,Aude,11110 Salles-d'Aude,2.0,1.894,1.196,0.999,2.0,2.09,"43.214, 3.09"
Nouvelle-Aquitaine,Charente,16250 Pérignac,1.979,,,,1.999,2.099,"45.47271338, 0.048103320000000005"
Bretagne,Ille-et-Vilaine,35300 Fougères,1.919,,,,1.899,1.979,"48.362, -1.209"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6650 Opio,2.09,,,,2.18,,"43.668, 6.985"
Provence-Alpes-Côte d'Azur,Vaucluse,84000 Avignon,1.958,,0.998,,2.043,2.167,"43.94017, 4.83013"
Auvergne-Rhône-Alpes,Rhône,69490 Vindry-sur-Turdine,1.878,1.878,,,1.836,,"45.8802707838, 4.47246388916"
Pays de la Loire,Vendée,85170 Les Lucs-sur-Boulogne,1.933,,,,1.928,1.984,"46.844, -1.494"
Occitanie,Tarn,81170 Livers-Cazelles,1.99,,1.263,,1.99,,"44.059, 1.966"
Auvergne-Rhône-Alpes,Rhône,69500 Bron,2.039,2.069,,,2.039,,"45.752, 4.9"
Centre-Val de Loire,Indre,36270 Éguzon-Chantôme,1.935,1.972,,,1.889,1.993,"46.439, 1.582"
Bretagne,Morbihan,56200 La Gacilly,1.99,,,,1.99,1.99,"47.771, -2.131"
Corse,Haute-Corse,20243 Prunelli-di-Fiumorbo,1.93,1.93,,1.36,,,"41.9986857757, 9.40286"
Pays de la Loire,Vendée,85180 Les Sables-d'Olonne,1.99,,,,1.977,1.99,"46.503611179563, -1.7293689915836"
Normandie,Eure,27500 Pont-Audemer,1.939,,,,1.899,1.969,"49.3498483373, 0.530896138584"
Occitanie,Aveyron,12560 Saint-Saturnin-de-Lenne,1.929,,,,1.955,1.999,"44.42315860941999, 3.0125916032708"
Hauts-de-France,Nord,59490 Somain,1.957,,1.05,,1.88,1.955,"50.358, 3.278"
Occitanie,Haute-Garonne,31650 Saint-Orens-de-Gameville,1.874,1.893,,,1.808,1.948,"43.565, 1.519"
Bourgogne-Franche-Comté,Côte-d'Or,21330 Laignes,1.999,2.049,1.049,,,,"47.83946523, 4.37160784"
Corse,Haute-Corse,20260 Calvi,1.99,1.99,,1.24,,,"42.55461139775301, 8.7615155767799"
Occitanie,Tarn,81200 Aussillon,1.99,1.99,,0.88,,1.99,"43.508, 2.354"
Auvergne-Rhône-Alpes,Rhône,69850 Saint-Martin-en-Haut,1.99,,1.099,,1.987,,"45.65965, 4.56564"
Provence-Alpes-Côte d'Azur,Var,83550 Vidauban,2.042,,,1.097,2.04,2.105,"43.416, 6.453"
Île-de-France,Essonne,91230 Montgeron,1.98,,,,1.965,2.02,"48.70418, 2.46037"
Pays de la Loire,Sarthe,72120 Saint-Calais,2.06,1.92,,,,,"47.917, 0.752"
Centre-Val de Loire,Eure-et-Loir,28220 Cloyes-les-Trois-Rivières,1.939,1.919,,,,1.949,"47.99, 1.256"
Normandie,Calvados,14310 Villers-Bocage,1.877,1.885,,,,1.923,"49.078, -0.645"
Auvergne-Rhône-Alpes,Loire,42400 Saint-Chamond,1.891,1.848,,,1.835,1.92,"45.462, 4.493"
Occitanie,Haute-Garonne,31250 Revel,1.99,1.99,,,,,"43.455718, 1.998626"
Provence-Alpes-Côte d'Azur,Var,83500 La Seyne-sur-Mer,1.893,,1.019,,1.852,1.947,"43.108, 5.868"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5190 Remollon,,,,,,,"44.468, 6.179"
Occitanie,Tarn,81100 Castres,1.899,,,0.917,1.835,1.951,"43.589, 2.186"
